"VLTRADERID","WRITETIME","STATUSDETAIL","STATUS","NAME","ID"
"777","2013-03-04 13:40:21.375","WindowsME_BROKE","Warning","flashyThing","91"
"1","2013-03-04 13:40:21.376","Partial","Problem","Widgit","92"
"777","2013-03-04 13:40:21.376","","Good","flashyThing","93"
"1","2013-03-04 13:40:21.377","Partial","Warning","Widgit","94"
"777","2013-03-04 13:40:21.377","WindowsME_BROKE","Problem","flashyThing","95"
"1","2013-03-04 13:40:21.377","","Good","Widgit","96"
"777","2013-03-04 13:40:21.378","WindowsME_BROKE","Warning","flashyThing","97"
"1","2013-03-04 13:40:21.378","Partial","Problem","Widgit","98"
"777","2013-03-04 13:40:21.379","","Good","flashyThing","99"
"1","2013-03-04 13:40:21.379","Partial","Warning","Widgit","100"
"777","2013-03-04 13:40:21.38","WindowsME_BROKE","Problem","flashyThing","101"
"1","2013-03-04 13:40:21.38","","Good","Widgit","102"
"777","2013-03-04 13:40:21.38","WindowsME_BROKE","Warning","flashyThing","103"
"1","2013-03-04 13:40:21.381","Partial","Problem","Widgit","104"
"777","2013-03-04 13:40:21.381","","Good","flashyThing","105"
"1","2013-03-04 13:40:21.381","Partial","Warning","Widgit","106"
"777","2013-03-04 13:40:21.383","WindowsME_BROKE","Problem","flashyThing","107"
"1","2013-03-04 13:40:21.383","","Good","Widgit","108"
"777","2013-03-04 13:40:21.384","WindowsME_BROKE","Warning","flashyThing","109"
"1","2013-03-04 13:40:21.384","Partial","Problem","Widgit","110"
"777","2013-03-04 13:40:21.384","","Good","flashyThing","111"
"1","2013-03-04 13:40:21.385","Partial","Warning","Widgit","112"
"777","2013-03-04 13:40:21.385","WindowsME_BROKE","Problem","flashyThing","113"
"1","2013-03-04 13:40:21.385","","Good","Widgit","114"
"777","2013-03-04 13:40:21.386","WindowsME_BROKE","Warning","flashyThing","115"
"1","2013-03-04 13:40:21.386","Partial","Problem","Widgit","116"
"777","2013-03-04 13:40:21.386","","Good","flashyThing","117"
"1","2013-03-04 13:40:21.387","Partial","Warning","Widgit","118"
"777","2013-03-04 13:40:21.387","WindowsME_BROKE","Problem","flashyThing","119"
"1","2013-03-04 13:40:21.388","","Good","Widgit","120"
"777","2013-03-04 13:40:21.388","WindowsME_BROKE","Warning","flashyThing","121"
"1","2013-03-04 13:40:21.388","Partial","Problem","Widgit","122"
"777","2013-03-04 13:40:21.389","","Good","flashyThing","123"
"1","2013-03-04 13:40:21.389","Partial","Warning","Widgit","124"
"777","2013-03-04 13:40:21.389","WindowsME_BROKE","Problem","flashyThing","125"
"1","2013-03-04 13:40:21.39","","Good","Widgit","126"
"777","2013-03-04 13:40:21.39","WindowsME_BROKE","Warning","flashyThing","127"
"1","2013-03-04 13:40:21.39","Partial","Problem","Widgit","128"
"777","2013-03-04 13:40:21.391","","Good","flashyThing","129"
"1","2013-03-04 13:40:21.391","Partial","Warning","Widgit","130"
"777","2013-03-04 13:40:21.391","WindowsME_BROKE","Problem","flashyThing","131"
"1","2013-03-04 13:40:21.392","","Good","Widgit","132"
"777","2013-03-04 13:40:21.392","WindowsME_BROKE","Warning","flashyThing","133"
"1","2013-03-04 13:40:21.392","Partial","Problem","Widgit","134"
"777","2013-03-04 13:40:21.393","","Good","flashyThing","135"
"1","2013-03-04 13:40:21.393","Partial","Warning","Widgit","136"
"777","2013-03-04 13:40:21.394","WindowsME_BROKE","Problem","flashyThing","137"
"1","2013-03-04 13:40:21.395","","Good","Widgit","138"
"777","2013-03-04 13:40:21.395","WindowsME_BROKE","Warning","flashyThing","139"
"1","2013-03-04 13:40:21.396","Partial","Problem","Widgit","140"
"777","2013-03-04 13:40:21.396","","Good","flashyThing","141"
"1","2013-03-04 13:40:21.396","Partial","Warning","Widgit","142"
"777","2013-03-04 13:40:21.397","WindowsME_BROKE","Problem","flashyThing","143"
"1","2013-03-04 13:40:21.397","","Good","Widgit","144"
"777","2013-03-04 13:40:21.398","WindowsME_BROKE","Warning","flashyThing","145"
"1","2013-03-04 13:40:21.398","Partial","Problem","Widgit","146"
"777","2013-03-04 13:40:21.399","","Good","flashyThing","147"
"1","2013-03-04 13:40:21.399","Partial","Warning","Widgit","148"
"777","2013-03-04 13:40:21.4","WindowsME_BROKE","Problem","flashyThing","149"
"1","2013-03-04 13:40:21.4","","Good","Widgit","150"
"777","2013-03-04 13:40:21.401","WindowsME_BROKE","Warning","flashyThing","151"
"1","2013-03-04 13:40:21.401","Partial","Problem","Widgit","152"
"777","2013-03-04 13:40:21.401","","Good","flashyThing","153"
"1","2013-03-04 13:40:21.402","Partial","Warning","Widgit","154"
"777","2013-03-04 13:40:21.402","WindowsME_BROKE","Problem","flashyThing","155"
"1","2013-03-04 13:40:21.403","","Good","Widgit","156"
"777","2013-03-04 13:40:21.403","WindowsME_BROKE","Warning","flashyThing","157"
"1","2013-03-04 13:40:21.404","Partial","Problem","Widgit","158"
"777","2013-03-04 13:40:21.404","","Good","flashyThing","159"
"1","2013-03-04 13:40:21.405","Partial","Warning","Widgit","160"
"777","2013-03-04 13:40:21.405","WindowsME_BROKE","Problem","flashyThing","161"
"1","2013-03-04 13:40:21.406","","Good","Widgit","162"
"777","2013-03-04 13:40:21.406","WindowsME_BROKE","Warning","flashyThing","163"
"1","2013-03-04 13:40:21.407","Partial","Problem","Widgit","164"
"777","2013-03-04 13:40:21.409","","Good","flashyThing","165"
"1","2013-03-04 13:40:21.409","Partial","Warning","Widgit","166"
"777","2013-03-04 13:40:21.41","WindowsME_BROKE","Problem","flashyThing","167"
"1","2013-03-04 13:40:21.41","","Good","Widgit","168"
"777","2013-03-04 13:40:21.41","WindowsME_BROKE","Warning","flashyThing","169"
"1","2013-03-04 13:40:21.411","Partial","Problem","Widgit","170"
"777","2013-03-04 13:40:21.411","","Good","flashyThing","171"
"1","2013-03-04 13:40:21.412","Partial","Warning","Widgit","172"
"777","2013-03-04 13:40:21.412","WindowsME_BROKE","Problem","flashyThing","173"
"1","2013-03-04 13:40:21.413","","Good","Widgit","174"
"777","2013-03-04 13:40:21.413","WindowsME_BROKE","Warning","flashyThing","175"
"1","2013-03-04 13:40:21.414","Partial","Problem","Widgit","176"
"777","2013-03-04 13:40:21.414","","Good","flashyThing","177"
"1","2013-03-04 13:40:21.414","Partial","Warning","Widgit","178"
"777","2013-03-04 13:40:21.415","WindowsME_BROKE","Problem","flashyThing","179"
"1","2013-03-04 13:40:21.415","","Good","Widgit","180"
"777","2013-03-04 13:40:21.416","WindowsME_BROKE","Warning","flashyThing","181"
"1","2013-03-04 13:40:21.416","Partial","Problem","Widgit","182"
"777","2013-03-04 13:40:21.417","","Good","flashyThing","183"
"1","2013-03-04 13:40:21.417","Partial","Warning","Widgit","184"
"777","2013-03-04 13:40:21.418","WindowsME_BROKE","Problem","flashyThing","185"
"1","2013-03-04 13:40:21.418","","Good","Widgit","186"
"777","2013-03-04 13:40:21.418","WindowsME_BROKE","Warning","flashyThing","187"
"1","2013-03-04 13:40:21.419","Partial","Problem","Widgit","188"
"777","2013-03-04 13:40:21.419","","Good","flashyThing","189"
"1","2013-03-04 13:40:21.42","Partial","Warning","Widgit","190"
"777","2013-03-04 13:40:21.42","WindowsME_BROKE","Problem","flashyThing","191"
"1","2013-03-04 13:40:21.421","","Good","Widgit","192"
"777","2013-03-04 13:40:21.423","WindowsME_BROKE","Warning","flashyThing","193"
"1","2013-03-04 13:40:21.423","Partial","Problem","Widgit","194"
"777","2013-03-04 13:40:21.423","","Good","flashyThing","195"
"1","2013-03-04 13:40:21.424","Partial","Warning","Widgit","196"
"777","2013-03-04 13:40:21.424","WindowsME_BROKE","Problem","flashyThing","197"
"1","2013-03-04 13:40:21.425","","Good","Widgit","198"
"777","2013-03-04 13:40:21.425","WindowsME_BROKE","Warning","flashyThing","199"
"1","2013-03-04 13:40:21.426","Partial","Problem","Widgit","200"
"777","2013-03-04 13:40:21.426","","Good","flashyThing","201"
"1","2013-03-04 13:40:21.427","Partial","Warning","Widgit","202"
"777","2013-03-04 13:40:21.427","WindowsME_BROKE","Problem","flashyThing","203"
"1","2013-03-04 13:40:21.428","","Good","Widgit","204"
"777","2013-03-04 13:40:21.428","WindowsME_BROKE","Warning","flashyThing","205"
"1","2013-03-04 13:40:21.428","Partial","Problem","Widgit","206"
"777","2013-03-04 13:40:21.429","","Good","flashyThing","207"
"1","2013-03-04 13:40:21.429","Partial","Warning","Widgit","208"
"777","2013-03-04 13:40:21.43","WindowsME_BROKE","Problem","flashyThing","209"
"1","2013-03-04 13:40:21.43","","Good","Widgit","210"
"777","2013-03-04 13:40:21.431","WindowsME_BROKE","Warning","flashyThing","211"
"1","2013-03-04 13:40:21.431","Partial","Problem","Widgit","212"
"777","2013-03-04 13:40:21.431","","Good","flashyThing","213"
"1","2013-03-04 13:40:21.432","Partial","Warning","Widgit","214"
"777","2013-03-04 13:40:21.432","WindowsME_BROKE","Problem","flashyThing","215"
"1","2013-03-04 13:40:21.433","","Good","Widgit","216"
"777","2013-03-04 13:40:21.433","WindowsME_BROKE","Warning","flashyThing","217"
"1","2013-03-04 13:40:21.434","Partial","Problem","Widgit","218"
"777","2013-03-04 13:40:21.434","","Good","flashyThing","219"
"1","2013-03-04 13:40:21.434","Partial","Warning","Widgit","220"
"777","2013-03-04 13:40:21.436","WindowsME_BROKE","Problem","flashyThing","221"
"1","2013-03-04 13:40:21.436","","Good","Widgit","222"
"777","2013-03-04 13:40:21.436","WindowsME_BROKE","Warning","flashyThing","223"
"1","2013-03-04 13:40:21.436","Partial","Problem","Widgit","224"
"777","2013-03-04 13:40:21.437","","Good","flashyThing","225"
"1","2013-03-04 13:40:21.437","Partial","Warning","Widgit","226"
"777","2013-03-04 13:40:21.437","WindowsME_BROKE","Problem","flashyThing","227"
"1","2013-03-04 13:40:21.438","","Good","Widgit","228"
"777","2013-03-04 13:40:21.438","WindowsME_BROKE","Warning","flashyThing","229"
"1","2013-03-04 13:40:21.438","Partial","Problem","Widgit","230"
"777","2013-03-04 13:40:21.438","","Good","flashyThing","231"
"1","2013-03-04 13:40:21.439","Partial","Warning","Widgit","232"
"777","2013-03-04 13:40:21.439","WindowsME_BROKE","Problem","flashyThing","233"
"1","2013-03-04 13:40:21.439","","Good","Widgit","234"
"777","2013-03-04 13:40:21.44","WindowsME_BROKE","Warning","flashyThing","235"
"1","2013-03-04 13:40:21.44","Partial","Problem","Widgit","236"
"777","2013-03-04 13:40:21.44","","Good","flashyThing","237"
"1","2013-03-04 13:40:21.44","Partial","Warning","Widgit","238"
"777","2013-03-04 13:40:21.441","WindowsME_BROKE","Problem","flashyThing","239"
"1","2013-03-04 13:40:21.441","","Good","Widgit","240"
"777","2013-03-04 13:40:21.441","WindowsME_BROKE","Warning","flashyThing","241"
"1","2013-03-04 13:40:21.442","Partial","Problem","Widgit","242"
"777","2013-03-04 13:40:21.442","","Good","flashyThing","243"
"1","2013-03-04 13:40:21.442","Partial","Warning","Widgit","244"
"777","2013-03-04 13:40:21.442","WindowsME_BROKE","Problem","flashyThing","245"
"1","2013-03-04 13:40:21.443","","Good","Widgit","246"
"777","2013-03-04 13:40:21.443","WindowsME_BROKE","Warning","flashyThing","247"
"1","2013-03-04 13:40:21.443","Partial","Problem","Widgit","248"
"777","2013-03-04 13:40:21.444","","Good","flashyThing","249"
"1","2013-03-04 13:40:21.445","Partial","Warning","Widgit","250"
"777","2013-03-04 13:40:21.445","WindowsME_BROKE","Problem","flashyThing","251"
"1","2013-03-04 13:40:21.445","","Good","Widgit","252"
"777","2013-03-04 13:40:21.446","WindowsME_BROKE","Warning","flashyThing","253"
"1","2013-03-04 13:40:21.446","Partial","Problem","Widgit","254"
"777","2013-03-04 13:40:21.446","","Good","flashyThing","255"
"1","2013-03-04 13:40:21.446","Partial","Warning","Widgit","256"
"777","2013-03-04 13:40:21.447","WindowsME_BROKE","Problem","flashyThing","257"
"1","2013-03-04 13:40:21.447","","Good","Widgit","258"
"777","2013-03-04 13:40:21.447","WindowsME_BROKE","Warning","flashyThing","259"
"1","2013-03-04 13:40:21.448","Partial","Problem","Widgit","260"
"777","2013-03-04 13:40:21.448","","Good","flashyThing","261"
"1","2013-03-04 13:40:21.448","Partial","Warning","Widgit","262"
"777","2013-03-04 13:40:21.448","WindowsME_BROKE","Problem","flashyThing","263"
"1","2013-03-04 13:40:21.449","","Good","Widgit","264"
"777","2013-03-04 13:40:21.449","WindowsME_BROKE","Warning","flashyThing","265"
"1","2013-03-04 13:40:21.449","Partial","Problem","Widgit","266"
"777","2013-03-04 13:40:21.449","","Good","flashyThing","267"
"1","2013-03-04 13:40:21.45","Partial","Warning","Widgit","268"
"777","2013-03-04 13:40:21.45","WindowsME_BROKE","Problem","flashyThing","269"
"1","2013-03-04 13:40:21.45","","Good","Widgit","270"
"777","2013-03-04 13:40:21.451","WindowsME_BROKE","Warning","flashyThing","271"
"1","2013-03-04 13:40:21.451","Partial","Problem","Widgit","272"
"777","2013-03-04 13:40:21.451","","Good","flashyThing","273"
"1","2013-03-04 13:40:21.451","Partial","Warning","Widgit","274"
"777","2013-03-04 13:40:21.452","WindowsME_BROKE","Problem","flashyThing","275"
"1","2013-03-04 13:40:21.452","","Good","Widgit","276"
"777","2013-03-04 13:40:21.453","WindowsME_BROKE","Warning","flashyThing","277"
"1","2013-03-04 13:40:21.453","Partial","Problem","Widgit","278"
"777","2013-03-04 13:40:21.454","","Good","flashyThing","279"
"1","2013-03-04 13:40:21.454","Partial","Warning","Widgit","280"
"777","2013-03-04 13:40:21.454","WindowsME_BROKE","Problem","flashyThing","281"
"1","2013-03-04 13:40:21.455","","Good","Widgit","282"
"777","2013-03-04 13:40:21.455","WindowsME_BROKE","Warning","flashyThing","283"
"1","2013-03-04 13:40:21.455","Partial","Problem","Widgit","284"
"777","2013-03-04 13:40:21.455","","Good","flashyThing","285"
"1","2013-03-04 13:40:21.456","Partial","Warning","Widgit","286"
"777","2013-03-04 13:40:21.456","WindowsME_BROKE","Problem","flashyThing","287"
"1","2013-03-04 13:40:21.456","","Good","Widgit","288"
"777","2013-03-04 13:40:21.457","WindowsME_BROKE","Warning","flashyThing","289"
"1","2013-03-04 13:40:21.457","Partial","Problem","Widgit","290"
"777","2013-03-04 13:40:21.457","","Good","flashyThing","291"
"1","2013-03-04 13:40:21.457","Partial","Warning","Widgit","292"
"777","2013-03-04 13:40:21.458","WindowsME_BROKE","Problem","flashyThing","293"
"1","2013-03-04 13:40:21.458","","Good","Widgit","294"
"777","2013-03-04 13:40:21.458","WindowsME_BROKE","Warning","flashyThing","295"
"1","2013-03-04 13:40:21.458","Partial","Problem","Widgit","296"
"777","2013-03-04 13:40:21.459","","Good","flashyThing","297"
"1","2013-03-04 13:40:21.459","Partial","Warning","Widgit","298"
"777","2013-03-04 13:40:21.459","WindowsME_BROKE","Problem","flashyThing","299"
"1","2013-03-04 13:40:21.46","","Good","Widgit","300"
"777","2013-03-04 13:40:21.46","WindowsME_BROKE","Warning","flashyThing","301"
"1","2013-03-04 13:40:21.46","Partial","Problem","Widgit","302"
"777","2013-03-04 13:40:21.46","","Good","flashyThing","303"
"1","2013-03-04 13:40:21.461","Partial","Warning","Widgit","304"
"777","2013-03-04 13:40:21.462","WindowsME_BROKE","Problem","flashyThing","305"
"1","2013-03-04 13:40:21.462","","Good","Widgit","306"
"777","2013-03-04 13:40:21.463","WindowsME_BROKE","Warning","flashyThing","307"
"1","2013-03-04 13:40:21.463","Partial","Problem","Widgit","308"
"777","2013-03-04 13:40:21.463","","Good","flashyThing","309"
"1","2013-03-04 13:40:21.464","Partial","Warning","Widgit","310"
"777","2013-03-04 13:40:21.464","WindowsME_BROKE","Problem","flashyThing","311"
"1","2013-03-04 13:40:21.464","","Good","Widgit","312"
"777","2013-03-04 13:40:21.465","WindowsME_BROKE","Warning","flashyThing","313"
"1","2013-03-04 13:40:21.465","Partial","Problem","Widgit","314"
"777","2013-03-04 13:40:21.465","","Good","flashyThing","315"
"1","2013-03-04 13:40:21.466","Partial","Warning","Widgit","316"
"777","2013-03-04 13:40:21.466","WindowsME_BROKE","Problem","flashyThing","317"
"1","2013-03-04 13:40:21.466","","Good","Widgit","318"
"777","2013-03-04 13:40:21.466","WindowsME_BROKE","Warning","flashyThing","319"
"1","2013-03-04 13:40:21.467","Partial","Problem","Widgit","320"
"777","2013-03-04 13:40:21.467","","Good","flashyThing","321"
"1","2013-03-04 13:40:21.467","Partial","Warning","Widgit","322"
"777","2013-03-04 13:40:21.468","WindowsME_BROKE","Problem","flashyThing","323"
"1","2013-03-04 13:40:21.468","","Good","Widgit","324"
"777","2013-03-04 13:40:21.468","WindowsME_BROKE","Warning","flashyThing","325"
"1","2013-03-04 13:40:21.468","Partial","Problem","Widgit","326"
"777","2013-03-04 13:40:21.469","","Good","flashyThing","327"
"1","2013-03-04 13:40:21.469","Partial","Warning","Widgit","328"
"777","2013-03-04 13:40:21.469","WindowsME_BROKE","Problem","flashyThing","329"
"1","2013-03-04 13:40:21.47","","Good","Widgit","330"
"777","2013-03-04 13:40:21.47","WindowsME_BROKE","Warning","flashyThing","331"
"1","2013-03-04 13:40:21.47","Partial","Problem","Widgit","332"
"777","2013-03-04 13:40:21.472","","Good","flashyThing","333"
"1","2013-03-04 13:40:21.472","Partial","Warning","Widgit","334"
"777","2013-03-04 13:40:21.472","WindowsME_BROKE","Problem","flashyThing","335"
"1","2013-03-04 13:40:21.473","","Good","Widgit","336"
"777","2013-03-04 13:40:21.473","WindowsME_BROKE","Warning","flashyThing","337"
"1","2013-03-04 13:40:21.473","Partial","Problem","Widgit","338"
"777","2013-03-04 13:40:21.474","","Good","flashyThing","339"
"1","2013-03-04 13:40:21.474","Partial","Warning","Widgit","340"
"777","2013-03-04 13:40:21.474","WindowsME_BROKE","Problem","flashyThing","341"
"1","2013-03-04 13:40:21.474","","Good","Widgit","342"
"777","2013-03-04 13:40:21.475","WindowsME_BROKE","Warning","flashyThing","343"
"1","2013-03-04 13:40:21.475","Partial","Problem","Widgit","344"
"777","2013-03-04 13:40:21.475","","Good","flashyThing","345"
"1","2013-03-04 13:40:21.476","Partial","Warning","Widgit","346"
"777","2013-03-04 13:40:21.476","WindowsME_BROKE","Problem","flashyThing","347"
"1","2013-03-04 13:40:21.476","","Good","Widgit","348"
"777","2013-03-04 13:40:21.476","WindowsME_BROKE","Warning","flashyThing","349"
"1","2013-03-04 13:40:21.477","Partial","Problem","Widgit","350"
"777","2013-03-04 13:40:21.477","","Good","flashyThing","351"
"1","2013-03-04 13:40:21.477","Partial","Warning","Widgit","352"
"777","2013-03-04 13:40:21.477","WindowsME_BROKE","Problem","flashyThing","353"
"1","2013-03-04 13:40:21.478","","Good","Widgit","354"
"777","2013-03-04 13:40:21.478","WindowsME_BROKE","Warning","flashyThing","355"
"1","2013-03-04 13:40:21.479","Partial","Problem","Widgit","356"
"777","2013-03-04 13:40:21.479","","Good","flashyThing","357"
"1","2013-03-04 13:40:21.48","Partial","Warning","Widgit","358"
"777","2013-03-04 13:40:21.48","WindowsME_BROKE","Problem","flashyThing","359"
"1","2013-03-04 13:40:21.48","","Good","Widgit","360"
"777","2013-03-04 13:40:21.482","WindowsME_BROKE","Warning","flashyThing","361"
"1","2013-03-04 13:40:21.482","Partial","Problem","Widgit","362"
"777","2013-03-04 13:40:21.483","","Good","flashyThing","363"
"1","2013-03-04 13:40:21.483","Partial","Warning","Widgit","364"
"777","2013-03-04 13:40:21.483","WindowsME_BROKE","Problem","flashyThing","365"
"1","2013-03-04 13:40:21.483","","Good","Widgit","366"
"777","2013-03-04 13:40:21.484","WindowsME_BROKE","Warning","flashyThing","367"
"1","2013-03-04 13:40:21.484","Partial","Problem","Widgit","368"
"777","2013-03-04 13:40:21.484","","Good","flashyThing","369"
"1","2013-03-04 13:40:21.485","Partial","Warning","Widgit","370"
"777","2013-03-04 13:40:21.485","WindowsME_BROKE","Problem","flashyThing","371"
"1","2013-03-04 13:40:21.485","","Good","Widgit","372"
"777","2013-03-04 13:40:21.485","WindowsME_BROKE","Warning","flashyThing","373"
"1","2013-03-04 13:40:21.486","Partial","Problem","Widgit","374"
"777","2013-03-04 13:40:21.486","","Good","flashyThing","375"
"1","2013-03-04 13:40:21.486","Partial","Warning","Widgit","376"
"777","2013-03-04 13:40:21.486","WindowsME_BROKE","Problem","flashyThing","377"
"1","2013-03-04 13:40:21.487","","Good","Widgit","378"
"777","2013-03-04 13:40:21.487","WindowsME_BROKE","Warning","flashyThing","379"
"1","2013-03-04 13:40:21.487","Partial","Problem","Widgit","380"
"777","2013-03-04 13:40:21.487","","Good","flashyThing","381"
"1","2013-03-04 13:40:21.488","Partial","Warning","Widgit","382"
"777","2013-03-04 13:40:21.488","WindowsME_BROKE","Problem","flashyThing","383"
"1","2013-03-04 13:40:21.488","","Good","Widgit","384"
"777","2013-03-04 13:40:21.489","WindowsME_BROKE","Warning","flashyThing","385"
"1","2013-03-04 13:40:21.489","Partial","Problem","Widgit","386"
"777","2013-03-04 13:40:21.489","","Good","flashyThing","387"
"1","2013-03-04 13:40:21.489","Partial","Warning","Widgit","388"
"777","2013-03-04 13:40:21.49","WindowsME_BROKE","Problem","flashyThing","389"
"1","2013-03-04 13:40:21.491","","Good","Widgit","390"
"777","2013-03-04 13:40:21.491","WindowsME_BROKE","Warning","flashyThing","391"
